Milestone,Category,StartDate,EndDate,Status
Spa Wing Renovation,Construction,2024-10-01,2024-12-15,Completed
Pool Deck Expansion,Construction,2024-11-01,2025-01-30,Completed
Restaurant Menu Launch,Operations,2025-01-15,2025-02-28,Completed
Staff Recruitment Drive,HR,2025-02-01,2025-04-15,Completed
PMS System Migration,IT,2025-03-01,2025-05-30,On Track
Brand & Website Refresh,Marketing,2025-04-01,2025-06-30,On Track
Staff Training Program,HR,2025-05-15,2025-07-30,At Risk
Spa Equipment Delivery,Procurement,2025-05-01,2025-06-15,Delayed
Health & Safety Certification,Compliance,2025-06-01,2025-08-15,At Risk
Loyalty Program Launch,Marketing,2025-07-01,2025-09-15,On Track
Soft Opening Event,Operations,2025-08-20,2025-08-22,On Track
Grand Opening Gala,Operations,2025-09-10,2025-09-12,On Track
Mobile App Rollout,IT,2025-08-01,2025-10-15,At Risk
Sustainability Certification,Compliance,2025-09-01,2025-11-30,On Track
Year-1 Audit Preparation,Finance,2025-10-01,2025-12-15,On Track
